proud,hopeful,storycond,anxcond3,anxietyvid,anxcond,anxiousplus_video,anxious_video
,,0,0,0,0,,
,,0,0,0,0,2,3
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,2,1,0,0,1,1
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
1,1,0,0,0,0,1.333333,2
,,0,0,0,0,,
1,1,2,1,0,0,1,1
,,0,0,0,0,,
,,0,0,0,0,,
3,3,1,2,1,1,4,5
4,4,1,0,0,0,1,1
1,2,2,0,0,0,1,1
,,0,0,0,0,,
3,3,0,1,0,0,2,2
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
2,2,0,1,0,0,1,1
2,2,1,0,0,0,1.333333,2
2,2,2,2,1,1,4,4
1,2,1,2,1,1,2.666667,3
,,0,0,0,0,,
1,1,0,0,0,0,2,1
,,0,0,0,0,,
,,0,0,0,0,,
1,1,0,0,0,0,1.666667,2
1,1,1,0,0,0,1,1
1,3,2,2,1,1,3.666667,4
,,2,0,0,0,1,1
1,1,2,1,0,0,1,1
